Ticker,Final_Portfolio,Return_%,Sharpe,Accuracy,Precision,Recall,F1_Score,Drawdown
AAPL,88821.68,-11.18,-0.2613,0.4873,0.5274,0.1359,0.2161,16404.3
TSLA,117463.83,17.46,0.2191,0.4897,0.4886,0.0563,0.101,23326.33
MSFT,113434.94,13.43,0.1994,0.492,0.53,0.2863,0.3718,19623.0
GOOGL,106829.49,6.83,0.1435,0.4933,0.5225,0.1359,0.2157,13420.15
AMZN,112531.05,12.53,0.1069,0.485,0.5385,0.0895,0.1534,17608.49
NVDA,470375.69,370.38,0.3351,0.4923,0.5371,0.2479,0.3393,120284.41
META,183117.74,83.12,0.0055,0.501,0.5604,0.1816,0.2744,32485.36
BRK-B,158738.56,58.74,0.5529,0.491,0.5351,0.2508,0.3415,15481.98
JPM,98548.42,-1.45,-0.0066,0.471,0.5411,0.1855,0.2763,22389.47
JNJ,109937.82,9.94,0.2437,0.507,0.5354,0.3137,0.3956,9317.5
XOM,130664.33,30.66,0.2245,0.4943,0.5177,0.0956,0.1614,8111.87
V,101618.87,1.62,0.0526,0.5017,0.5452,0.2586,0.3508,12732.49
PG,131011.66,31.01,0.567,0.5043,0.5841,0.1282,0.2103,6786.5
UNH,78866.79,-21.13,-0.1864,0.4887,0.5198,0.0681,0.1204,25869.87
MA,147752.96,47.75,0.2991,0.4937,0.5455,0.1689,0.2579,22023.34
HD,111461.78,11.46,0.2805,0.5057,0.5438,0.1352,0.2166,12898.84
LLY,68432.69,-31.57,-0.5471,0.4853,0.4753,0.1326,0.2074,33658.31
MRK,96128.25,-3.87,-0.0528,0.503,0.505,0.2024,0.289,14405.93
PEP,88488.46,-11.51,-0.2988,0.498,0.502,0.1631,0.2462,16258.43
KO,112718.51,12.72,0.5117,0.4937,0.5464,0.099,0.1677,4919.68
BAC,109507.69,9.51,0.3198,0.496,0.519,0.0809,0.1399,6093.08
ABBV,89520.57,-10.48,-0.2039,0.486,0.5333,0.2023,0.2933,15808.39
AVGO,106612.15,6.61,0.1296,0.4907,0.5726,0.0883,0.153,20016.99
COST,119583.62,19.58,0.2587,0.4853,0.5354,0.283,0.3703,19132.66
DIS,84281.57,-15.72,-0.2844,0.4963,0.5171,0.3048,0.3835,21637.37
WMT,92464.39,-7.54,-0.1363,0.47,0.5195,0.1658,0.2514,15983.08
PFE,95204.77,-4.8,-0.1078,0.5137,0.5077,0.1358,0.2143,12087.53
CSCO,118819.42,18.82,-0.1496,0.5027,0.5283,0.1898,0.2792,18217.95
TMO,90029.73,-9.97,-0.2078,0.504,0.5387,0.0968,0.164,11873.68
ACN,125074.96,25.07,0.4625,0.4943,0.5188,0.1525,0.2358,9804.52
CVX,107455.28,7.46,0.1952,0.5163,0.5645,0.2125,0.3087,7807.34
ABT,127777.29,27.78,0.635,0.497,0.526,0.1841,0.2728,8908.7
CRM,140113.5,40.11,-0.0991,0.4913,0.5193,0.1137,0.1866,18173.6
MCD,112059.95,12.06,0.3758,0.4833,0.5089,0.1105,0.1816,4593.87
INTC,62117.33,-37.88,-0.6383,0.5113,0.4629,0.0907,0.1516,44755.16
DHR,90990.6,-9.01,-0.1565,0.497,0.508,0.2296,0.3163,27488.21
QCOM,76991.44,-23.01,-0.3119,0.49,0.5076,0.173,0.258,23937.53
TXN,99033.36,-0.97,-0.0069,0.4917,0.4982,0.0925,0.1561,7812.03
NEE,76102.92,-23.9,-0.2577,0.4903,0.5197,0.352,0.4197,32795.21
AMGN,125999.71,26.0,0.4255,0.511,0.534,0.2635,0.3529,21575.65
LIN,133166.73,33.17,-0.0503,0.4997,0.5479,0.1806,0.2717,16389.26
PM,123683.9,23.68,0.6286,0.4917,0.5465,0.1502,0.2356,8841.6
BMY,78183.91,-21.82,-0.2171,0.5027,0.4781,0.1633,0.2434,23627.96
MDT,118362.98,18.36,0.6314,0.4967,0.5361,0.1115,0.1847,3772.33
HON,103173.75,3.17,0.1111,0.502,0.5443,0.1368,0.2186,10711.29
UNP,87497.16,-12.5,-0.2853,0.5037,0.5232,0.2225,0.3122,15303.14
LOW,95421.63,-4.58,-0.1335,0.487,0.4661,0.0676,0.1181,7633.86
ORCL,122122.39,22.12,-0.3853,0.4857,0.5226,0.104,0.1735,62863.81
NKE,95562.07,-4.44,0.0771,0.509,0.509,0.2283,0.3152,15218.61
RTX,90966.57,-9.03,-0.1749,0.498,0.5223,0.1759,0.2632,15974.19
MS,98782.83,-1.22,-0.0042,0.4903,0.5402,0.1252,0.2032,16837.79
GS,100404.67,0.4,0.0263,0.4817,0.5067,0.0732,0.1279,11447.5
