Ticker,Window,Final_Portfolio,BuyHold,Sharpe,Drawdown,Winner,RunFolder,Accuracy,Model
AAPL,1000-4500,146009.94,111421.36,0.463,12.67,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251019_2310,0.0,PPO
ABBV,1000-4500,116448.89,139058.22,0.467,6.78,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_2016,0.0,PPO
ABT,0-3500,109998.82,104755.03,0.489,3.6,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
ACN,1000-4500,123742.81,95279.41,0.5,5.77,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
ADBE,500-4000,191042.16,102300.16,0.573,22.45,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
AMD,0-3500,113453.57,206425.2,0.283,7.93,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
AMGN,500-4000,112920.0,130073.87,0.392,5.88,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
AVGO,1000-4500,156949.01,307321.96,0.428,26.93,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
BAC,500-4000,102972.77,149016.17,0.35,1.49,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
BMY,1000-4500,104436.39,75824.47,0.34,2.01,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251019_2310,0.0,PPO
BRK-B,0-3500,102186.84,151616.95,0.205,2.64,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251019_2310,0.0,PPO
COST,500-4000,102590.1,184037.34,0.445,1.37,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251019_2310,0.0,PPO
CRM,0-3500,128200.69,267545.3,0.344,26.4,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_1350,0.0,PPO
CSCO,1000-4500,109951.71,136931.48,0.441,2.47,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_2016,0.0,PPO
CVX,1000-4500,195084.48,94264.15,0.678,12.31,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_2016,0.0,PPO
DHR,500-4000,111338.83,95260.8,0.428,4.57,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251021_1400,0.0,PPO
IBM,0-3500,109118.62,166544.14,0.552,3.31,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251021_1400,0.0,PPO
INTC,500-4000,132312.02,75258.22,0.364,11.63,PPO,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_2016,0.0,PPO
JPM,1000-4500,109225.22,195980.64,0.449,5.63,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251020_2016,0.0,PPO
KO,500-4000,108139.24,110634.14,0.457,4.64,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251021_1400,0.0,PPO
LIN,1000-4500,100527.63,122830.39,0.124,0.91,Buy & Hold,/content/drive/MyDrive/Results_May_2025/ppo_walkforward_results_20251021_1400,0.0,PPO
